Tiempo,Flexo-extensión hombro derecho,Abducción-aducción hombro derecho,Flexo-extensión codo derecho,Flexo-extensión muñeca derecha,Desviación radiocubital muñeca derecha
0.00000,-4.92546,96.38039,-2.77239,6.79852,2.77472
0.01000,-4.89036,96.42688,-2.79064,6.77849,2.75716
0.02000,-4.84681,96.48209,-2.81074,6.75019,2.73751
0.03000,-4.79460,96.54564,-2.83185,6.71176,2.71694
0.04000,-4.73374,96.61694,-2.85294,6.66115,2.69705
0.05000,-4.66441,96.69526,-2.87290,6.59623,2.67972
0.06000,-4.58692,96.77982,-2.89066,6.51486,2.66701
0.07000,-4.50165,96.86983,-2.90527,6.41524,2.66094
0.08000,-4.40901,96.96461,-2.91609,6.29612,2.66333
0.09000,-4.30948,97.06350,-2.92277,6.15719,2.67561
0.10000,-4.20359,97.16589,-2.92538,5.99924,2.69865
0.11000,-4.09199,97.27125,-2.92432,5.82435,2.73270
0.12000,-3.97544,97.37900,-2.92031,5.63584,2.77728
0.13000,-3.85484,97.48859,-2.91430,5.43816,2.83130
0.14000,-3.73123,97.59943,-2.90736,5.23665,2.89310
0.15000,-3.60574,97.71092,-2.90060,5.03722,2.96061
0.16000,-3.47957,97.82243,-2.89507,4.84605,3.03149
0.17000,-3.35393,97.93333,-2.89170,4.66915,3.10324
0.18000,-3.23000,98.04308,-2.89121,4.51192,3.17338
0.19000,-3.10885,98.15124,-2.89408,4.37877,3.23951
0.20000,-2.99143,98.25745,-2.90056,4.27271,3.29951
0.21000,-2.87858,98.36152,-2.91066,4.19515,3.35164
0.22000,-2.77096,98.46336,-2.92420,4.14568,3.39470
0.23000,-2.66908,98.56293,-2.94080,4.12217,3.42807
0.24000,-2.57327,98.66019,-2.95994,4.12086,3.45180
0.25000,-2.48372,98.75504,-2.98098,4.13669,3.46654
0.26000,-2.40044,98.84728,-3.00312,4.16375,3.47341
0.27000,-2.32340,98.93661,-3.02553,4.19575,3.47394
0.28000,-2.25253,99.02267,-3.04727,4.22652,3.46981
0.29000,-2.18778,99.10505,-3.06740,4.25051,3.46275
0.30000,-2.12914,99.18340,-3.08503,4.26313,3.45433
0.31000,-2.07660,99.25740,-3.09934,4.26099,3.44589
0.32000,-2.03010,99.32677,-3.10972,4.24204,3.43845
0.33000,-1.98945,99.39125,-3.11574,4.20557,3.43266
0.34000,-1.95430,99.45051,-3.11725,4.15218,3.42891
0.35000,-1.92410,99.50420,-3.11437,4.08366,3.42729
0.36000,-1.89808,99.55191,-3.10746,4.00285,3.42767
0.37000,-1.87534,99.59317,-3.09707,3.91344,3.42980
0.38000,-1.85490,99.62750,-3.08387,3.81977,3.43331
0.39000,-1.83575,99.65446,-3.06859,3.72657,3.43782
0.40000,-1.81695,99.67368,-3.05193,3.63853,3.44298
0.41000,-1.79765,99.68484,-3.03453,3.55998,3.44855
0.42000,-1.77719,99.68778,-3.01691,3.49446,3.45440
0.43000,-1.75510,99.68248,-2.99946,3.44427,3.46051
0.44000,-1.73115,99.66908,-2.98240,3.41019,3.46699
0.45000,-1.70533,99.64786,-2.96577,3.39126,3.47398
0.46000,-1.67791,99.61935,-2.94946,3.38472,3.48155
0.47000,-1.64937,99.58424,-2.93321,3.38625,3.48967
0.48000,-1.62040,99.54341,-2.91664,3.39030,3.49810
0.49000,-1.59182,99.49788,-2.89928,3.39066,3.50635
0.50000,-1.56454,99.44879,-2.88068,3.38118,3.51376
0.51000,-1.53941,99.39732,-2.86040,3.35641,3.51952
0.52000,-1.51721,99.34463,-2.83814,3.31223,3.52282
0.53000,-1.49848,99.29185,-2.81380,3.24628,3.52295
0.54000,-1.48353,99.23997,-2.78746,3.15824,3.51946
0.55000,-1.47240,99.18988,-2.75948,3.04974,3.51215
0.56000,-1.46486,99.14234,-2.73041,2.92417,3.50114
0.57000,-1.46050,99.09799,-2.70097,2.78624,3.48676
0.58000,-1.45879,99.05736,-2.67191,2.64147,3.46952
0.59000,-1.45916,99.02087,-2.64400,2.49564,3.44997
0.60000,-1.46109,98.98888,-2.61785,2.35436,3.42869
0.61000,-1.46415,98.96165,-2.59390,2.22266,3.40628
0.62000,-1.46796,98.93934,-2.57240,2.10484,3.38333
0.63000,-1.47223,98.92200,-2.55337,2.00426,3.36046
0.64000,-1.47669,98.90953,-2.53669,1.92337,3.33836
0.65000,-1.48106,98.90169,-2.52216,1.86374,3.31774
0.66000,-1.48501,98.89805,-2.50955,1.82614,3.29928
