Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Desviación radiocubital muñeca derecha_X,Desviación radiocubital muñeca derecha_Y
0.00000,-0.14544,-0.19633,90.29083,0.12894,-0.06453,0.54455,0.37463,-0.51619,0.13555,-0.75262
0.01000,-0.14704,-0.19633,90.29212,0.12894,-0.05962,0.54455,0.36972,-0.51619,0.12817,-0.75262
0.02000,-0.14936,-0.27118,90.29341,0.12703,-0.05364,0.64972,0.36431,-0.55843,0.12049,-0.76576
0.03000,-0.15246,-0.34900,90.29466,0.11978,-0.04663,0.74635,0.35855,-0.58550,0.11286,-0.74512
0.04000,-0.15634,-0.42417,90.29581,0.10757,-0.03871,0.82977,0.35260,-0.59733,0.10559,-0.69383
0.05000,-0.16095,-0.49003,90.29681,0.09308,-0.03003,0.89718,0.34660,-0.59520,0.09898,-0.61893
0.06000,-0.16614,-0.53971,90.29767,0.07668,-0.02077,0.94799,0.34069,-0.58112,0.09321,-0.52997
0.07000,-0.17174,-0.56734,90.29835,0.05951,-0.01107,0.98353,0.33498,-0.55716,0.08838,-0.43708
0.08000,-0.17749,-0.56939,90.29886,0.04349,-0.00109,1.00636,0.32955,-0.52504,0.08447,-0.34915
0.09000,-0.18313,-0.54575,90.29922,0.02861,0.00906,1.01925,0.32448,-0.48595,0.08140,-0.27268
0.10000,-0.18841,-0.50013,90.29943,0.01373,0.01929,1.02437,0.31983,-0.44062,0.07902,-0.21119
0.11000,-0.19313,-0.43963,90.29949,-0.00229,0.02954,1.02278,0.31567,-0.38959,0.07717,-0.16537
0.12000,-0.19720,-0.37334,90.29939,-0.02213,0.03975,1.01415,0.31204,-0.33337,0.07571,-0.13373
0.13000,-0.20060,-0.31038,90.29905,-0.04807,0.04983,0.99683,0.30900,-0.27239,0.07450,-0.11332
0.14000,-0.20341,-0.25784,90.29842,-0.07973,0.05968,0.96821,0.30659,-0.20673,0.07344,-0.10060
0.15000,-0.20575,-0.21925,90.29745,-0.11749,0.06919,0.92531,0.30486,-0.13596,0.07249,-0.09212
0.16000,-0.20779,-0.19416,90.29607,-0.15869,0.07819,0.86557,0.30387,-0.05923,0.07160,-0.08510
0.17000,-0.20964,-0.17901,90.29428,-0.19836,0.08650,0.78774,0.30368,0.02412,0.07079,-0.07792
0.18000,-0.21137,-0.16917,90.29211,-0.23270,0.09394,0.69250,0.30435,0.11383,0.07004,-0.07032
0.19000,-0.21302,-0.16119,90.28963,-0.25787,0.10035,0.58283,0.30596,0.20790,0.06938,-0.06334
0.20000,-0.21459,-0.15457,90.28695,-0.27199,0.10560,0.46372,0.30851,0.30226,0.06878,-0.05897
0.21000,-0.21611,-0.15218,90.28419,-0.27428,0.10963,0.34149,0.31200,0.39093,0.06820,-0.05944
0.22000,-0.21764,-0.15903,90.28146,-0.26741,0.11243,0.22279,0.31633,0.46671,0.06759,-0.06651
0.23000,-0.21929,-0.17981,90.27884,-0.25520,0.11408,0.11377,0.32134,0.52214,0.06687,-0.08085
0.24000,-0.22123,-0.21621,90.27636,-0.24185,0.11471,0.01964,0.32677,0.55055,0.06597,-0.10178
0.25000,-0.22362,-0.26498,90.27400,-0.23232,0.11447,-0.05552,0.33235,0.54720,0.06483,-0.12728
0.26000,-0.22653,-0.31760,90.27171,-0.23041,0.11360,-0.10870,0.33772,0.51009,0.06342,-0.15432
0.27000,-0.22997,-0.36147,90.26939,-0.23842,0.11230,-0.13802,0.34255,0.44067,0.06175,-0.17924
0.28000,-0.23376,-0.38239,90.26694,-0.25673,0.11083,-0.14285,0.34653,0.34389,0.05984,-0.19841
0.29000,-0.23762,-0.36740,90.26426,-0.28458,0.10944,-0.12414,0.34943,0.22783,0.05778,-0.20888
0.30000,-0.24111,-0.30754,90.26125,-0.32005,0.10835,-0.08461,0.35109,0.10263,0.05566,-0.20908
0.31000,-0.24377,-0.19965,90.25786,-0.35973,0.10775,-0.02870,0.35148,-0.02084,0.05360,-0.19929
0.32000,-0.24510,-0.04727,90.25406,-0.40016,0.10778,0.03782,0.35067,-0.13238,0.05168,-0.18154
0.33000,-0.24471,0.13980,90.24986,-0.43907,0.10851,0.10855,0.34883,-0.22379,0.04997,-0.15900
0.34000,-0.24231,0.34687,90.24528,-0.47226,0.10995,0.17705,0.34620,-0.28984,0.04850,-0.13509
0.35000,-0.23778,0.55636,90.24041,-0.49706,0.11205,0.23749,0.34303,-0.32870,0.04726,-0.11280
0.36000,-0.23118,0.75033,90.23534,-0.51346,0.11470,0.28520,0.33962,-0.34179,0.04624,-0.09446
0.37000,-0.22277,0.91313,90.23014,-0.52109,0.11775,0.31726,0.33620,-0.33303,0.04538,-0.08176
0.38000,-0.21292,1.03381,90.22491,-0.51918,0.12104,0.33299,0.33296,-0.30799,0.04461,-0.07576
0.39000,-0.20209,1.10797,90.21976,-0.50850,0.12441,0.33408,0.33004,-0.27302,0.04386,-0.07656
0.40000,-0.19076,1.13840,90.21474,-0.48981,0.12773,0.32427,0.32750,-0.23463,0.04307,-0.08288
0.41000,-0.17932,1.13439,90.20996,-0.46234,0.13090,0.30848,0.32535,-0.19901,0.04220,-0.09176
0.42000,-0.16807,1.10957,90.20550,-0.42648,0.13390,0.29165,0.32352,-0.17143,0.04124,-0.09895
0.43000,-0.15713,1.07877,90.20143,-0.38338,0.13673,0.27743,0.32192,-0.15554,0.04022,-0.09973
0.44000,-0.14650,1.05454,90.19783,-0.33455,0.13944,0.26738,0.32041,-0.15265,0.03924,-0.09018
0.45000,-0.13604,1.04446,90.19474,-0.28267,0.14208,0.26064,0.31887,-0.16150,0.03842,-0.06818
0.46000,-0.12561,1.04979,90.19218,-0.23193,0.14466,0.25434,0.31718,-0.17854,0.03788,-0.03404
0.47000,-0.11505,1.06585,90.19010,-0.18654,0.14717,0.24465,0.31529,-0.19871,0.03774,0.00951
0.48000,-0.10429,1.08371,90.18845,-0.15106,0.14955,0.22816,0.31321,-0.21665,0.03807,0.05774
0.49000,-0.09337,1.09260,90.18708,-0.13046,0.15173,0.20328,0.31096,-0.22777,0.03889,0.10468
0.50000,-0.08244,1.08253,90.18584,-0.12703,0.15362,0.17119,0.30865,-0.22906,0.04016,0.14402
0.51000,-0.07172,1.04641,90.18454,-0.14114,0.15515,0.13603,0.30638,-0.21945,0.04177,0.17012
0.52000,-0.06151,0.98162,90.18301,-0.17242,0.15634,0.10412,0.30426,-0.19979,0.04357,0.17881
0.53000,-0.05209,0.89053,90.18109,-0.21858,0.15723,0.08269,0.30238,-0.17245,0.04535,0.16802
0.54000,-0.04370,0.78007,90.17864,-0.27428,0.15799,0.07826,0.30081,-0.14081,0.04693,0.13796
0.55000,-0.03649,0.66037,90.17561,-0.33379,0.15880,0.09538,0.29957,-0.10855,0.04811,0.09077
0.56000,-0.03049,0.54289,90.17197,-0.39253,0.15990,0.13597,0.29864,-0.07900,0.04874,0.02978
0.57000,-0.02563,0.43834,90.16776,-0.44518,0.16152,0.19932,0.29799,-0.05466,0.04871,-0.04138
0.58000,-0.02172,0.35483,90.16306,-0.48599,0.16388,0.28270,0.29755,-0.03699,0.04792,-0.11950
0.59000,-0.01853,0.29647,90.15804,-0.51346,0.16717,0.38228,0.29725,-0.02655,0.04632,-0.20209
0.60000,-0.01580,0.26276,90.15279,-0.52834,0.17153,0.49398,0.29702,-0.02354,0.04387,-0.28692
0.61000,-0.01328,0.24888,90.14747,-0.53139,0.17705,0.61402,0.29678,-0.02837,0.04058,-0.37135
0.62000,-0.01082,0.24666,90.14217,-0.52681,0.18381,0.73865,0.29645,-0.04209,0.03645,-0.45162
0.63000,-0.00834,0.24607,90.13693,-0.51956,0.19183,0.86356,0.29594,-0.06622,0.03154,-0.52276
0.64000,-0.00590,0.23678,90.13177,-0.51460,0.20108,0.98308,0.29512,-0.10203,0.02599,-0.57923
0.65000,-0.00361,0.20962,90.12664,-0.51498,0.21149,1.08973,0.29389,-0.14969,0.01996,-0.61589
0.66000,-0.00170,0.15792,90.12148,-0.52261,0.22288,1.17443,0.29213,-0.20761,0.01367,-0.62900
0.67000,-0.00045,0.07864,90.11619,-0.53864,0.23498,1.22728,0.28974,-0.27245,0.00738,-0.61670
0.68000,-0.00013,-0.02669,90.11070,-0.56114,0.24742,1.23887,0.28668,-0.33958,0.00134,-0.57905
0.69000,-0.00098,-0.15157,90.10497,-0.58784,0.25975,1.20175,0.28295,-0.40370,-0.00420,-0.51776
0.70000,-0.00316,-0.28489,90.09895,-0.61646,0.27146,1.11196,0.27861,-0.45924,-0.00902,-0.43579
0.71000,-0.00668,-0.41226,90.09264,-0.64278,0.28199,0.97015,0.27377,-0.50068,-0.01292,-0.33705
0.72000,-0.01141,-0.51821,90.08609,-0.66185,0.29086,0.78194,0.26859,-0.52304,-0.01576,-0.22610
0.73000,-0.01705,-0.58885,90.07940,-0.66872,0.29763,0.55742,0.26331,-0.52260,-0.01744,-0.10799
0.74000,-0.02318,-0.61462,90.07272,-0.65880,0.30201,0.30984,0.25814,-0.49801,-0.01792,0.01194
0.75000,-0.02934,-0.59221,90.06622,-0.62828,0.30383,0.05390,0.25335,-0.45118,-0.01720,0.12808
0.76000,-0.03503,-0.52523,90.06015,-0.57526,0.30309,-0.19591,0.24912,-0.38761,-0.01535,0.23478
0.77000,-0.03984,-0.42329,90.05472,-0.50240,0.29991,-0.42641,0.24559,-0.31598,-0.01250,0.32667
0.78000,-0.04349,-0.29991,90.05010,-0.41428,0.29456,-0.62639,0.24280,-0.24687,-0.00882,0.39926
0.79000,-0.04584,-0.16996,90.04643,-0.31700,0.28738,-0.78702,0.24066,-0.19086,-0.00452,0.44964
0.80000,-0.04689,-0.04742,90.04376,-0.21744,0.27882,-0.90223,0.23898,-0.15645,0.00017,0.47699
0.81000,-0.04679,0.05608,90.04208,-0.12207,0.26934,-0.96905,0.23753,-0.14841,0.00502,0.48268
0.82000,-0.04577,0.13199,90.04132,-0.03548,0.25944,-0.98785,0.23601,-0.16690,0.00983,0.46973
0.83000,-0.04415,0.17493,90.04137,0.04082,0.24958,-0.96226,0.23419,-0.20776,0.01442,0.44165
0.84000,-0.04227,0.18281,90.04214,0.10643,0.24019,-0.89887,0.23186,-0.26378,0.01866,0.40132
0.85000,-0.04049,0.15698,90.04350,0.16174,0.23160,-0.80653,0.22891,-0.32666,0.02244,0.35036
0.86000,-0.03913,0.10244,90.04537,0.20790,0.22406,-0.69564,0.22533,-0.38900,0.02567,0.28939
0.87000,-0.03845,0.02780,90.04766,0.24605,0.21769,-0.57731,0.22113,-0.44572,0.02823,0.21900
0.88000,-0.03858,-0.05530,90.05029,0.27695,0.21251,-0.46243,0.21641,-0.49431,0.03005,0.14102
0.89000,-0.03955,-0.13360,90.05320,0.30136,0.20844,-0.36079,0.21125,-0.53418,0.03105,0.05921
0.90000,-0.04125,-0.19411,90.05632,0.32043,0.20530,-0.28013,0.20573,-0.56539,0.03123,-0.02088
0.91000,-0.04343,-0.22637,90.05961,0.33569,0.20284,-0.22553,0.19994,-0.58760,0.03063,-0.09297
0.92000,-0.04578,-0.22455,90.06303,0.34866,0.20079,-0.19925,0.19398,-0.59983,0.02937,-0.15149
0.93000,-0.04792,-0.18876,90.06658,0.35934,0.19885,-0.20111,0.18794,-0.60078,0.02760,-0.19294
0.94000,-0.04955,-0.12510,90.07022,0.36736,0.19677,-0.22921,0.18196,-0.58965,0.02551,-0.21671
0.95000,-0.05043,-0.04419,90.07393,0.37117,0.19427,-0.28045,0.17615,-0.56668,0.02327,-0.22494
0.96000,-0.05044,0.04171,90.07764,0.36659,0.19116,-0.35095,0.17063,-0.53332,0.02101,-0.22154
0.97000,-0.04959,0.12196,90.08126,0.35057,0.18725,-0.43606,0.16548,-0.49196,0.01884,-0.21075
0.98000,-0.04800,0.19013,90.08466,0.32196,0.18243,-0.53015,0.16079,-0.44546,0.01680,-0.19557
0.99000,-0.04579,0.24493,90.08770,0.28191,0.17665,-0.62653,0.15657,-0.39676,0.01493,-0.17696
1.00000,-0.04310,0.28919,90.09029,0.23308,0.16990,-0.71750,0.15285,-0.34861,0.01326,-0.15383
1.01000,-0.04001,0.32765,90.09236,0.18120,0.16230,-0.79462,0.14960,-0.30360,0.01185,-0.12402
1.02000,-0.03655,0.36447,90.09392,0.13161,0.15401,-0.84926,0.14678,-0.26413,0.01078,-0.08562
1.03000,-0.03272,0.40139,90.09499,0.08888,0.14531,-0.87340,0.14432,-0.23254,0.01014,-0.03814
1.04000,-0.02852,0.43704,90.09570,0.05493,0.13654,-0.86061,0.14213,-0.21095,0.01002,0.01683
1.05000,-0.02398,0.46743,90.09609,0.02899,0.12810,-0.80698,0.14010,-0.20095,0.01047,0.07566
