time_s,hombro_fe_X,hombro_fe_Y,codo_fe_X,codo_fe_Y,muneca_fe_X,muneca_fe_Y
0.000000,39.8290139179,5.5735986166,29.8165436140,3.9308919936,10.8966222681,2.8308386738
0.010000,43.7779044988,5.5293603618,30.4315088490,3.9712637264,11.0685798085,2.9852382062
0.020000,44.4474924639,5.6704874386,30.3160619999,3.8522461403,11.2092518570,2.6338893689
0.030000,41.2301678033,5.6385924355,31.1118170973,3.9935400502,11.6125094722,2.8547636488
0.040000,39.8355514073,5.6518438305,31.5720554461,3.8299376387,12.0147810868,2.7786309102
0.050000,42.2048985537,5.1441490922,32.1909032698,3.9444737880,12.0854193055,2.8335132253
0.060000,47.0409983646,5.4075048701,32.8452381769,3.8582912759,12.8738018421,2.8627211632
0.070000,48.9441174000,5.4004532638,33.4219417436,3.6647605071,12.6027362827,2.8414100883
0.080000,47.1230052932,5.5256791468,33.3261263698,3.7661166931,13.3430936984,2.5787214499
0.090000,44.5887371129,5.5297455594,33.5006270551,3.7936140297,13.6712324903,2.9319103535
0.100000,44.8696693209,5.1450256614,34.3933203983,3.6961905383,14.4345920464,2.8861400014
0.110000,47.9050267345,5.3966296155,34.6090052270,3.4631278741,14.3074452749,2.7022471152
0.120000,52.3615703556,5.3731571543,35.1219480484,3.5158160815,15.2574545389,2.8365523475
0.130000,53.3599854922,5.2313394804,34.6941690830,3.6130108630,15.1541725242,2.6098255602
0.140000,50.0644561666,5.2118646947,35.3559281081,3.5953185997,15.5776391712,2.8375782185
0.150000,48.8909863986,5.0717668986,35.9297385686,3.6092464233,15.6887699293,2.6924839085
0.160000,49.9082865582,5.1135109605,35.7558054937,3.3493986862,16.6252507493,2.6114700144
0.170000,54.0880181852,4.9990693367,36.5544446051,3.3508728961,16.6999074106,2.6097777271
0.180000,55.9866659756,5.1184205550,36.2285083230,3.1874758993,16.6419099458,2.5386853717
0.190000,56.0958992846,4.8215915247,36.2713228271,3.3023385554,17.2957071628,2.6498696726
0.200000,52.8130247893,5.1747854637,36.5102219555,3.3068437140,17.3670395073,2.6665490641
0.210000,51.4823394025,4.8670917659,37.0179602653,3.3231818643,17.5808101140,2.6004074522
0.220000,54.9241594747,4.6920791381,36.8605803358,3.1781032170,17.5260398144,2.4718366104
0.230000,58.4860808055,4.8294339828,36.8922100124,3.3265416847,18.3662740066,2.5513119511
0.240000,59.0765653011,4.5751839937,37.2243267418,3.0821848219,18.6039963101,2.3277813838
0.250000,56.8285842457,4.6283111886,37.0436056704,2.8032838750,18.3191343981,2.2902495045
0.260000,53.9126561588,4.4189647434,37.0853410718,2.9935078604,18.7900689129,2.3249296862
0.270000,54.3563475326,4.5028337030,36.7646142478,2.9021449188,18.9118602461,2.3984009498
0.280000,57.9515871223,4.3002223036,36.4989846971,2.9235813283,19.2533623309,2.3564757181
0.290000,60.5127816961,4.3902514831,36.7799280316,2.7858420697,19.4712557696,2.2800202280
0.300000,59.9820798346,4.3530249427,36.9448050462,2.8004823272,19.3242845840,2.2656126558
0.310000,55.8897579656,4.1219761863,36.5600487132,2.5672326018,19.6347974168,2.1159792547
0.320000,54.2354821335,3.8733980833,36.5625719275,2.6067293034,19.8446367594,2.1855672162
0.330000,56.5296735116,4.2897342529,35.8921702127,2.5593161772,19.7706309336,2.0944247730
0.340000,60.2206042407,4.2501770320,36.2096411495,2.6409404604,19.7790958499,2.0690825682
0.350000,60.6429382116,3.9004299481,35.5588779213,2.6135932298,19.8078582164,2.0371095090
